# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  120       6.749606041925e-10       5.291674286114e-14       4.824227322303e-12       0.000000000000e+00       9.507413297287e-12       3.045228836761e-13      -3.456497622719e-15 
  121       6.673337817913e-10       5.364548550558e-14       4.797519520252e-12       0.000000000000e+00       9.302679330562e-12       2.953400970403e-13      -3.421589184748e-15 
  122       6.599069273923e-10       5.436382721929e-14       4.769632696123e-12       0.000000000000e+00       9.103755341443e-12       2.863692694097e-13      -3.387282370889e-15 
  123       6.526788545840e-10       5.507124964750e-14       4.740592543405e-12       0.000000000000e+00       8.910485732555e-12       2.776157572091e-13      -3.353515970731e-15 
  124       6.456470450873e-10       5.576723505965e-14       4.710425186231e-12       0.000000000000e+00       8.722674787271e-12       2.690841035292e-13      -3.320219600078e-15 
  125       6.388076101176e-10       5.645126656552e-14       4.679157160706e-12       0.000000000000e+00       8.540085594731e-12       2.607780113890e-13      -3.287313464653e-15 
  126       6.321552517472e-10       5.712282833134e-14       4.646815396214e-12       0.000000000000e+00       8.362438974850e-12       2.527003169968e-13      -3.254708123816e-15 
  127       6.256832242671e-10       5.778140579599e-14       4.613427196740e-12       0.000000000000e+00       8.189412403333e-12       2.448529630127e-13      -3.222304254271e-15 
  128       6.193832955495e-10       5.842648588705e-14       4.579020222185e-12       0.000000000000e+00       8.020638936688e-12       2.372369718099e-13      -3.189992413780e-15 
  129       6.132481730490e-10       5.905756981375e-14       4.543622586647e-12       0.000000000000e+00       7.855787733926e-12       2.298525315876e-13      -3.157678175594e-15 
  130       6.072791647743e-10       5.967421257319e-14       4.507263205141e-12       0.000000000000e+00       7.694817892152e-12       2.226993221834e-13      -3.125361151084e-15 
  131       6.014792896290e-10       6.027598820664e-14       4.469971449789e-12       0.000000000000e+00       7.537750555172e-12       2.157761746394e-13      -3.093064229808e-15 
  132       5.958508673123e-10       6.086247791432e-14       4.431777018583e-12       0.000000000000e+00       7.384589326632e-12       2.090809358799e-13      -3.060808931655e-15 
  133       5.903954973166e-10       6.143327036161e-14       4.392709917550e-12       0.000000000000e+00       7.235319778907e-12       2.026104427807e-13      -3.028615352102e-15 
  134       5.851140379263e-10       6.198796198513e-14       4.352800442896e-12       0.000000000000e+00       7.089908961990e-12       1.963604962381e-13      -2.996502107468e-15 
  135       5.800065852153e-10       6.252615729887e-14       4.312079163167e-12       0.000000000000e+00       6.948304912382e-12       1.903258352384e-13      -2.964486280171e-15 
  136       5.750724520460e-10       6.304746920035e-14       4.270576901396e-12       0.000000000000e+00       6.810436161979e-12       1.845001109272e-13      -2.932583363980e-15 
  137       5.703101470670e-10       6.355151927675e-14       4.228324717263e-12       0.000000000000e+00       6.676211246965e-12       1.788758606787e-13      -2.900807209271e-15 
  138       5.657173537116e-10       6.403793811098e-14       4.185353889243e-12       0.000000000000e+00       6.545518216697e-12       1.734444821651e-13      -2.869169968285e-15 
  139       5.612909091956e-10       6.450636558789e-14       4.141695896762e-12       0.000000000000e+00       6.418224142598e-12       1.681962074256e-13      -2.837682040378e-15 
  140       5.570267835163e-10       6.495645120035e-14       4.097382402351e-12       0.000000000000e+00       6.294174627042e-12       1.631200769362e-13      -2.806352017282e-15 
  141       5.529200584499e-10       6.538785435538e-14       4.052445233800e-12       0.000000000000e+00       6.173193312249e-12       1.582039136786e-13      -2.775186628353e-15 
  142       5.489649065501e-10       6.580024468032e-14       4.006916366307e-12       0.000000000000e+00       6.055081389169e-12       1.534342972096e-13      -2.744190685834e-15 
  143       5.451545701464e-10       6.619330232890e-14       3.960827904639e-12       0.000000000000e+00       5.939617106373e-12       1.487965377305e-13      -2.713367030103e-15 
  144       5.414830843243e-10       6.656672948881e-14       3.914212075534e-12       0.000000000000e+00       5.826603115422e-12       1.442776620471e-13      -2.682717471900e-15 
  145       5.379506816458e-10       6.692028553646e-14       3.867101241764e-12       0.000000000000e+00       5.716014804360e-12       1.398757579644e-13      -2.652245839250e-15 
  146       5.345588828191e-10       6.725375594608e-14       3.819527855541e-12       0.000000000000e+00       5.607865722417e-12       1.355915061197e-13      -2.621955128256e-15 
  147       5.313087896804e-10       6.756694176675e-14       3.771524430759e-12       0.000000000000e+00       5.502160842385e-12       1.314252422692e-13      -2.591846484524e-15 
  148       5.282010742149e-10       6.785965999292e-14       3.723123525201e-12       0.000000000000e+00       5.398896344428e-12       1.273769486668e-13      -2.561919154145e-15 
  149       5.252359675783e-10       6.813174393490e-14       3.674357722759e-12       0.000000000000e+00       5.298059399900e-12       1.234462454434e-13      -2.532170434682e-15 
  150       5.224132491173e-10       6.838304358937e-14       3.625259615640e-12       0.000000000000e+00       5.199627955148e-12       1.196323819855e-13      -2.502595626156e-15 
  151       5.197322353912e-10       6.861342600990e-14       3.575861786581e-12       0.000000000000e+00       5.103570515328e-12       1.159342283149e-13      -2.473187982026e-15 
  152       5.171917691928e-10       6.882277567743e-14       3.526196791064e-12       0.000000000000e+00       5.009845928218e-12       1.123502664670e-13      -2.443938660180e-15 
  153       5.147902085696e-10       6.901099487080e-14       3.476297139523e-12       0.000000000000e+00       4.918403168025e-12       1.088785818704e-13      -2.414836673915e-15 
  154       5.125254158446e-10       6.917800403725e-14       3.426195279560e-12       0.000000000000e+00       4.829181119201e-12       1.055168547256e-13      -2.385868842924e-15 
  155       5.103947466381e-10       6.932374216290e-14       3.375923578159e-12       0.000000000000e+00       4.742108360251e-12       1.022623513841e-13      -2.357019744280e-15 
  156       5.083950388879e-10       6.944816714330e-14       3.325514303894e-12       0.000000000000e+00       4.657102947546e-12       9.911191572745e-14      -2.328271663421e-15 
  157       5.065226018711e-10       6.955125615390e-14       3.274999609145e-12       0.000000000000e+00       4.574072199137e-12       9.606196054634e-14      -2.299604545135e-15 
  158       5.047732052251e-10       6.963300602057e-14       3.224411512308e-12       0.000000000000e+00       4.492912478562e-12       9.310845891949e-14      -2.270995944543e-15 
  159       5.031420679683e-10       6.969343359009e-14       3.173781880012e-12       0.000000000000e+00       4.413508978659e-12       9.024693559275e-14      -2.242420978087e-15 
  160       5.016238475218e-10       6.973257610069e-14       3.123142409325e-12       0.000000000000e+00       4.335735505379e-12       8.747245835813e-14      -2.213852274514e-15 
  161       5.002138040696e-10       6.975049672820e-14       3.072524639903e-12       0.000000000000e+00       4.259480749206e-12       8.478048845476e-14      -2.185267452267e-15 
  162       4.989114324038e-10       6.974730099798e-14       3.021960028974e-12       0.000000000000e+00       4.184730164107e-12       8.216953438224e-14      -2.156672397678e-15 
  163       4.977171317661e-10       6.972312253920e-14       2.971479849016e-12       0.000000000000e+00       4.111490949895e-12       7.963871738762e-14      -2.128079961236e-15 
